Date,Date,BTC-Open,High,Low,BTC-Close,BTC-Volume,Delta,"('Adj Close', 'AADA.SW')","('Adj Close', 'ABBA.SW')","('Adj Close', 'ABCH.SW')","('Adj Close', 'ABNB.SW')","('Adj Close', 'ABTC.SW')","('Adj Close', 'AETH.SW')","('Adj Close', 'ASOL.SW')","('Adj Close', 'AXLM.SW')","('Adj Close', 'AXRP.SW')","('Adj Close', 'AXTZ.SW')","('Adj Close', 'BITC.SW')","('Adj Close', 'BTCA.SW')","('Adj Close', 'BTCB.SW')","('Adj Close', 'BTCW.SW')","('Adj Close', 'ETHB.SW')","('Adj Close', 'ETHE.SW')","('Adj Close', 'ETHW.SW')","('Adj Close', 'HODL.SW')","('Adj Close', 'HODLV.SW')","('Adj Close', 'HODLX.SW')","('Adj Close', 'KEYS.SW')","('Adj Close', 'MOON.SW')","('Adj Close', 'SBTC.SW')","('Adj Close', 'SBTCC.SW')","('Adj Close', 'SBTCU.SW')","('Adj Close', 'SDOT.SW')","('Adj Close', 'SEBAX.SW')","('Adj Close', 'SETH.SW')","('Adj Close', 'SGLD.SW')","('Adj Close', 'VPOL.SW')","('Adj Close', 'XRPL.SW')"
2020-01-03,2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,-360.45556640625,,16.93199920654297,10.28600025177002,15.010000228881836,,,,,12.276000022888184,20.729999542236328,,,,72.62599182128906,,,,,,,11.640000343322754,,,,,,,,150.22000122070312,,
2020-01-06,2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,-358.76708984375,,17.350000381469727,11.220000267028809,15.970000267028809,,,,,13.847999572753906,20.729999542236328,,,,75.20526123046875,,,,,,,12.184000015258789,,,,,,,,152.75999450683594,,
2020-01-07,2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,-395.01025390625,,18.1299991607666,11.227999687194824,16.059999465942383,,,,,13.413999557495117,20.729999542236328,,,,78.01634979248047,,,,,,,12.697999954223633,,,,,,,,152.13999938964844,,
2020-01-08,2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,82.07275390625,,19.049999237060547,11.571999549865723,16.059999465942383,40.54499816894531,20.639999389648438,,,13.447999954223633,21.959999084472656,,,,82.88278198242188,,,,,,,13.26200008392334,,,,,,,,152.13999938964844,,
2020-01-09,2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,203.224609375,,18.020000457763672,11.130000114440918,15.850000381469727,39.0,20.139999389648438,,,12.977999687194824,21.6200008392334,,,,,,,,,,,12.489999771118164,,,,,,,,150.0800018310547,,
2020-01-10,2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,-288.24658203125,,18.5,11.850000381469727,16.15999984741211,39.83000183105469,20.850000381469727,,,12.854000091552734,21.219999313354492,,,,80.16490173339844,,,,,,,12.739999771118164,,,,,,,,151.39999389648438,,
2020-01-13,2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,45.57763671875,,18.5,12.432000160217285,16.6200008392334,39.970001220703125,20.889999389648438,,,13.338000297546387,20.530000686645508,,,,80.63194274902344,,,,,,,12.880000114440918,,,,,,,,150.74000549316406,,
2020-01-14,2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,-686.83154296875,,20.040000915527344,16.31599998474121,17.290000915527344,42.20000076293945,22.5049991607666,,,14.199999809265137,20.530000686645508,,,,86.8396987915039,,,,,,,13.720000267028809,,,,,,,,149.72000122070312,,
2020-01-15,2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,18.3330078125,,20.200000762939453,16.5,17.290000915527344,42.20000076293945,22.5049991607666,,,15.050000190734863,20.530000686645508,,,,87.74079132080078,,,,,,,14.3100004196167,,,,,,,,150.60000610351562,,
2020-01-16,2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,88.6953125,,20.200000762939453,15.197999954223633,19.100000381469727,43.154998779296875,23.895000457763672,,,14.390000343322754,20.860000610351562,,,,86.70411682128906,,,,,,,14.3100004196167,,,,,,,,150.77999877929688,,
