FundLongName,ValorSymbol,FundReutersTicker,FundBloombergTicker,ValorNumber,ISIN,IssuerLongNameDesc,IssuerNameFull,TradingBaseCurrency,FundCurrency,ManagementFee,ReplicationMethodDesc,ManagementStyleDesc,MarketMakers,ClosingPrice,ClosingPerformance,ClosingDelta,FundUnderlyingDescription,BidVolume,BidPrice,AskVolume,AskPrice,MidSpread,PreviousClosingPrice,MarketDate,MarketTime,OpeningPrice,OpeningPrice,DailyLowPrice,OnMarketVolume,OffBookVolume,TotalTurnover,TotalTurnoverCHF,ProductLineDesc,AssetClassDesc,UnderlyingGeographicalDesc,LegalStructureCountryDesc,UnderlyingProviderDesc
21Shares Bitcoin ETP,ABTC,ABTC.S,ABTC SE ,45466400,CH0454664001,21Shares AG,21Shares AG,USD,USD,1.49,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,14.132,-4.66,-0.69,Bitcoin,8000,13.5,3250,16.3,18.7919,14.822,20220218,,14.404,14.404,13.95,313311,0,4483894.83,4126976.8,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Bitcoin Suisse Index ETP,ABBA,ABBA.S ,ABBA SE ,49648464,CH0496484640,21Shares AG,21Shares AG,CHF,CHF,2.5,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,17.568,-7.13,-1.348,Amun Bitcoin Suisse Index ,10,#NAME?,100,20.4,,18.916,20220218,,18.202,18.202,17.568,3718,0,66490.63,66490.63,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Bitwise Select 10 Large Cap Crypto Index ETP,KEYS,KEYS.S,KEYS SE,47598631,CH0475986318,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.,18.558,-8.2,-1.657,Bitwise Select 10 Large Cap Crypto,750,13,2000,38.52,99.0683,20.215,20220218,,18.828,18.828,18.558,4258,0,79764.62,73415.36,Exchange Traded Product,Other,Global,Switzerland,Bitwise
21Shares Cardano ETP,AADA,AADA.S,AADA SE,110272875,CH1102728750,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.,20.24,-4.37,-0.925,N/A,0,,50,34.9,,21.165,20220218,,20.89,20.89,19.884,7867,0,160724.01,147930.38,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Cosmos ETP (ATOM),ATOM,ATOM.S ,ATOM SE ,114593099,CH1145930991,21Shares AG,21Shares AG,CHF,USD,2.5,Physical,passive,Flow Traders B.V.,13.386,-7.67,-1.112,N/A,0,,0,,,14.498,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Cosmos ETP (ATOM),ATOM,ATOM.S ,ATOM SE ,114593099,CH1145930991,21Shares AG,21Shares AG,EUR,USD,2.5,Physical,passive,Flow Traders B.V.,12.83,-7.76,-1.08,N/A,0,,0,,,13.91,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Cosmos ETP (ATOM),ATOM,ATOM.S ,ATOM SE ,114593099,CH1145930991,21Shares AG,21Shares AG,USD,USD,2.5,Physical,passive,Flow Traders B.V.,14.54,-7.52,-1.182,N/A,0,,0,,,15.722,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Crypto Basket 10 ETP,HODLX,HODLX.S,HODLX SE,113520217,CH1135202179,21Shares AG,21Shares AG,USD,USD,2.5,unknown,passive,Flow Traders B.V.,18.622,-2.5,-0.478,Vinter,0,,0,,,19.1,20220218,,18.622,18.622,18.622,148,0,2756.06,2536.68,Exchange Traded Product,Other,Global,Switzerland,unknown
21Shares Crypto Basket Equal Weight ETP,HODLV,HODLV.S,HODLV SE,113520216,CH1135202161,21Shares AG,21Shares AG,USD,USD,2.5,unknown,passive,Flow Traders B.V.,16.35,-3.33,-0.564,Vinter,0,,0,,,16.914,20220218,,16.49,16.49,16.35,3380,0,55702.32,51268.42,Exchange Traded Product,Other,Global,Switzerland,unknown
21Shares Crypto Basket Index,HODL,HODL.S,HODL SE,44568920,CH0445689208,21Shares AG,21Shares AG,EUR,USD,2.5,Unknown,passive,Flow Traders B.V.,11.968,-5.02,-0.632,21Shares Crypto Basket Index ,100,10,50,21,70.9677,12.6,20220218,,12.298,12.298,11.968,274,0,3326.11,3481.77,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Crypto Basket Index,HODL,HODL.S ,HODL SE,44568920,CH0445689208,21Shares AG,21Shares AG,GBP,USD,2.5,Unknown,passive,Flow Traders B.V.,10.102,-3.66,-0.384,21Shares Crypto Basket Index ,0,,0,,,10.486,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Crypto Basket Index,HODL,HODL.S,HODL SE,44568920,CH0445689208,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.,13.62,-4.89,-0.7,21Shares Crypto Basket Index ,29,13,1600,14.3,9.5238,14.32,20220218,,13.978,13.978,13.53,8898,0,122719.78,112951.29,Exchange Traded Product,Other,Global,Switzerland,21Shares AG 
21Shares Crypto Mid-Cap Index ETP (ALTS),ALTS,ALTS.S,ALTS SE,113067567,CH1130675676,21Shares AG,21Shares AG,CHF,USD,2.5,physical,passive,Flow Traders B.V.,13.704,-5.41,-0.784,Vinter,0,,0,,,14.488,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Crypto Mid-Cap Index ETP (ALTS),ALTS,ALTS.S,ALTS SE,113067567,CH1130675676,21Shares AG,21Shares AG,EUR,USD,2.5,physical,passive,Flow Traders B.V.,13.126,-5.28,-0.732,Vinter,0,,0,,,13.858,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Crypto Mid-Cap Index ETP (ALTS),ALTS,ALTS.S,ALTS SE,113067567,CH1130675676,21Shares AG,21Shares AG,USD,USD,2.5,physical,passive,Flow Traders B.V.,14.746,-6.05,-0.95,Vinter,0,,0,,,15.696,20220218,,15.43,15.43,14.746,699,0,10630.13,9783.97,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Ethereum ETP,AETH,AETH,AETH SE,45466402,CH0454664027,21Shares AG,21Shares AG,CHF,USD,2.5,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,28.655,-6.78,-2.085,Ethereum,190,26,100,37.3,35.703,30.74,20220218,,30,30,28.655,5028,0,148007.06,148007.06,Exchange Traded Product,Other,Global,Switzerland,N/A
