Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,okcoin,others
2017-05-23 00:00:00 UTC,5143.045,22019.67967281,16581.17583023,18800.37842524,16543.54680563,19872.38391112,11259.4418975593,28460.31583597,27837.845,59420.55374435754
2017-05-24 00:00:00 UTC,5630.119,29560.3397956799,16442.76684785,30395.64114204,26147.27888364,26967.80908941,10964.9895052241,40034.78294221,33675.1020000001,75166.0257111232
2017-05-25 00:00:00 UTC,6093.229,54892.6282668601,23606.96517149,32215.4556110399,38169.19215305,41789.7996832201,25394.1960964734,55833.37547068,45210.6110000001,112715.36428265378
2017-05-26 00:00:00 UTC,5879.007,39496.1270546701,24034.5213015699,33023.4175369699,32203.09927397,35778.6503686401,17460.8208549354,50037.04974955,42124.8659999997,90834.88284591209
2017-05-27 00:00:00 UTC,5780.431,46999.36368662,19958.01231101,30069.65578533,29757.90212466,36566.3771655401,10135.5854985222,50604.22865008,33040.0899999997,80886.4325757534
2017-05-28 00:00:00 UTC,5089.773,25728.27260616,14576.61643893,19280.31477724,17314.8106779,20583.9357994199,4916.0059661661,30563.3526145699,23240.4539999999,44884.86724838977
2017-05-29 00:00:00 UTC,5278.574,16418.96866155,9201.0765622,17797.55894886,14561.80991448,19079.41997053,6429.7908321353,28776.10296011,15551.598,34226.95053559605
2017-05-30 00:00:00 UTC,4749.524,21341.51951029,11433.55463293,16319.03140209,16203.21326938,23870.64898131,14174.0912940395,34575.84280064,12098.89,38758.46187480439
2017-05-31 00:00:00 UTC,5183.103,21179.86166212,9609.75511845,19281.97511569,18405.34754796,24968.5363147,14248.4007933986,31106.70149559,27175.0110000001,47725.08974880546
2017-06-01 00:00:00 UTC,5193.864,18924.58641425,10390.7217513,20335.25571881,21438.13389091,23892.87935204,11493.7387707622,31190.99227763,23590.9759999999,52841.947561772955
2017-06-02 00:00:00 UTC,5124.111,12533.52313631,10364.87701056,16530.98113338,14575.70987252,14383.47772799,8743.4469588613,19888.46070258,18192.602,34298.80052160303
2017-06-03 00:00:00 UTC,4895.91,10751.69170617,8340.68517778,14197.66231555,11980.65770778,14961.67819128,4104.3676860699,17090.26628171,21344.564,38863.13747581661
2017-06-04 00:00:00 UTC,4911.295,11813.28691933,5707.28311029,9344.91144688,10100.48556256,14993.15332664,3719.4254868273,15812.94413797,14316.01,27177.70922103493
2017-06-05 00:00:00 UTC,4879.213,15340.20568265,9137.63134571998,14286.43128078,14139.22332705,15247.32671976,5934.0397946361,18516.28142071,17793.914,39249.08940707061
2017-06-06 00:00:00 UTC,4949.601,41808.9343775701,15172.2357296699,28905.26361589,32224.04764401,32107.64902579,12199.244508148,44303.05358347,24493.5999999999,73602.00358849291
2017-06-07 00:00:00 UTC,5268.266,21968.92253624,14648.2091015899,14922.33872905,19340.37177744,22685.0269718099,8628.4635631216,26554.80416097,21590.7919999999,44913.056967404955
2017-06-08 00:00:00 UTC,5139.387,16827.79813655,11721.08546414,17779.55413464,15548.37129018,15903.55628902,10236.9341879997,18930.65514203,17186.8969999999,36076.94354901034
2017-06-09 00:00:00 UTC,5117.21,9514.6097135,7536.38318555,13489.58282443,9643.52273118,13410.42980562,7036.085133168,13463.30605149,12065.257,28484.35125535421
2017-06-10 00:00:00 UTC,5246.447,15799.0712592,7134.50552955999,15042.3844895,11043.17690941,20222.9413446399,5979.06336369109,21039.76735376,14905.3909999999,30927.62490680595
2017-06-11 00:00:00 UTC,5228.659,18957.678852,7119.95921325999,16098.0641754,8251.58429254,18304.79612358,4092.987902266,17319.5961128,15914.5789999999,30811.185396062807
