Time,asks,bids,price
2017-02-20 00:00:00 UTC,1880779.08071215,1250459.75104012,1150.86704532415
2017-02-27 00:00:00 UTC,2088581.6511028,1176432.10323382,1239.13331957261
2017-03-06 00:00:00 UTC,1856076.03383365,1377437.7445992,1216.78454936709
2017-03-13 00:00:00 UTC,1977432.76655495,1487419.72369111,1162.71351095617
2017-03-20 00:00:00 UTC,1433270.79113102,1192607.16438301,1015.01871329019
2017-03-27 00:00:00 UTC,1404049.91727302,1501672.70964531,1053.02763092269
2017-04-03 00:00:00 UTC,1868304.79192704,1192532.20664349,1166.4424327019
2017-04-10 00:00:00 UTC,2107574.65940636,1011537.52544499,1197.65193606138
2017-04-17 00:00:00 UTC,1823407.89073321,1129050.09717086,1220.84611720698
2017-04-24 00:00:00 UTC,1501789.15423136,1587034.51902258,1313.69743519442
2017-05-01 00:00:00 UTC,1788445.73299156,1186135.42466788,1529.46849159248
2017-05-08 00:00:00 UTC,2143511.94816116,1776542.15480582,1750.99446808511
2017-05-15 00:00:00 UTC,2249567.4700716,1921456.85270523,1877.77698420533
2017-05-22 00:00:00 UTC,2364769.02417103,1765139.59804313,2307.69274519468
2017-05-29 00:00:00 UTC,3485657.82408665,1944639.45657518,2377.24418069307
2017-06-05 00:00:00 UTC,4820561.28188007,2417623.92723727,2801.76471548739
2017-06-12 00:00:00 UTC,3096125.13871657,2152983.34507653,2589.57982572411
2017-06-19 00:00:00 UTC,4242726.41955613,2807529.13669103,2640.6063575
2017-06-26 00:00:00 UTC,3806932.90335582,3750643.23703178,2480.40654172914
2017-07-03 00:00:00 UTC,4730553.52141272,3668174.73282184,2560.39627872128
2017-07-10 00:00:00 UTC,2714580.47926991,2814070.84090023,2255.6821767349
2017-07-17 00:00:00 UTC,4310015.60508573,2221239.0317943,2485.03645104895
2017-07-24 00:00:00 UTC,4708718.67269468,3167685.49849807,2657.14640469062
2017-07-31 00:00:00 UTC,4143435.54223741,3181676.89138698,2886.13515219561
2017-08-07 00:00:00 UTC,4424112.70819663,4276219.03693223,3544.88572781656
2017-08-14 00:00:00 UTC,7265910.76793677,4974333.2710253,4187.48733150275
2017-08-21 00:00:00 UTC,8789870.41854556,6166282.39421042,4190.85579301746
2017-08-28 00:00:00 UTC,9651371.56605302,5596344.39604044,4601.17786676647
2017-09-04 00:00:00 UTC,6495230.06315154,6783978.2228947,4448.40115902293
2017-09-11 00:00:00 UTC,4289791.76344992,7152251.40661052,3845.2426009975
2017-09-18 00:00:00 UTC,5726447.80138152,6264110.19236462,3815.83393266833
2017-09-25 00:00:00 UTC,6690933.08036309,5196365.53098645,4106.17140569396
2017-10-02 00:00:00 UTC,7298351.45654894,7545240.63745009,4351.07948379053
2017-10-09 00:00:00 UTC,10581948.320601,6567819.86289818,5185.05407077394
2017-10-16 00:00:00 UTC,15440487.2644004,9083491.03847909,5741.1190947631
2017-10-23 00:00:00 UTC,13395441.0755274,10635600.5830328,5778.86122684026
2017-10-30 00:00:00 UTC,16320748.984026,14564936.1384361,6838.56862000001
2017-11-06 00:00:00 UTC,16931833.7447438,15533158.7900088,6943.61067231076
2017-11-13 00:00:00 UTC,21239766.1470725,18682490.4301554,7263.52192671985
2017-11-20 00:00:00 UTC,23927564.4509892,25285595.559004,8362.88615288845
2017-11-27 00:00:00 UTC,28658138.9312604,22213832.7599059,10357.5091866867
2017-12-04 00:00:00 UTC,34336710.7792858,28078403.0284549,13979.9232631318
2017-12-11 00:00:00 UTC,65228856.4957877,30456110.6307157,17615.8803154496
2017-12-18 00:00:00 UTC,38150300.6648932,27609491.0784405,16560.9578543307
2017-12-25 00:00:00 UTC,26046093.4517617,22035770.647252,14434.4039352767
2018-01-01 00:00:00 UTC,37384653.1946841,24499001.1280263,15167.6464246779
2018-01-08 00:00:00 UTC,33176855.8907626,26621253.9075396,14245.7828016815
2018-01-15 00:00:00 UTC,24055832.4336875,18130061.3601133,11986.5805467197
2018-01-22 00:00:00 UTC,17001892.7374246,20449103.5271887,11086.2464764268
2018-01-29 00:00:00 UTC,16679011.2942395,22432429.882702,9625.09699797674
2018-02-05 00:00:00 UTC,16807620.7670767,15429203.121792,7943.32453373016
2018-02-12 00:00:00 UTC,26384591.1570397,21744634.1821252,9640.78846230159
2018-02-19 00:00:00 UTC,21520122.1249505,26630010.9887893,10510.0042881261
2018-02-26 00:00:00 UTC,38333396.3015199,24763078.0983549,10756.364744489
2018-03-05 00:00:00 UTC,20906052.4712372,22692281.1085276,9954.72853266331
