Time,bitfinex,bitstamp,btce,cex.io,coinbase,gemini,itbit,kraken,okcoin,others
2017-02-21 00:00:00 UTC,0.0236026190707377,0.0901000038868378,0.0854804130268352,0.216764165022845,0.0239721160174481,0.034287491111817,0.225751244945559,0.145045188013113,0.0600769596887368,1.5566044601277886
2017-02-22 00:00:00 UTC,0.0249761790864795,0.102298065485911,0.104175168722206,0.227681968155983,0.0318775898801337,0.0339592400866446,0.0931755179424825,0.190306097506411,0.0517551753710703,2.5366732506328082
2017-02-23 00:00:00 UTC,0.0281047095461697,0.0906618606501972,0.106918376708983,0.176782409957898,0.0289469629626422,0.0272749873020727,0.0799293163665938,0.1608283759422,0.0622055232593771,2.655819562708119
2017-02-24 00:00:00 UTC,0.0342592879270677,0.110679719866953,0.122630302619121,0.196920380711886,0.0596138376574555,0.0613143144408319,0.0657644697930616,0.287391705701924,0.114008023602082,1.9049629843054128
2017-02-25 00:00:00 UTC,0.0291733342887171,0.125003806585245,0.13293781219694,0.178468523296755,0.0316322995963214,0.0818186068652591,0.0661558448421886,0.288129583322905,0.0761781955693902,1.542869573460391
2017-02-26 00:00:00 UTC,0.0295723655563682,0.0997416150320205,0.122942969629143,0.182706261132497,0.0160277952253086,0.0665748039399968,0.0662213962414486,0.251416077779104,0.0708210600484054,1.2406654486842272
2017-02-27 00:00:00 UTC,0.0285338940213452,0.149385596066809,0.143447766786629,0.121966047724571,0.0229691369035573,0.044401654546912,0.0635841558686106,0.2022754868822,0.0657250304814884,1.2980578997169216
2017-02-28 00:00:00 UTC,0.0243568571582188,0.092729173058817,0.218949739950339,0.153235295052496,0.0224175707805015,0.0509840477824925,0.180756240634667,0.251654266701326,0.0506331191082276,1.8939998410261754
2017-03-01 00:00:00 UTC,0.0240549516209369,0.0886051519791999,0.194090033760982,0.18567002210169,0.0213171651196874,0.0335666791455996,0.0683505593859915,0.220121126327922,0.0342570802095933,2.454159962470146
2017-03-02 00:00:00 UTC,0.0229778297488244,0.110972799862126,0.147547534449311,0.205886242288197,0.0349633933275062,0.0272130842394576,0.0774116491433108,0.216397001695265,0.0529366644800579,2.29546735159038
2017-03-03 00:00:00 UTC,0.0342099502485129,0.120224959415891,0.129318584530001,0.204337480368693,0.0254132319849114,0.0476497724727766,0.0558021968158405,0.339313991559546,0.041087564088868,2.316560382609783
2017-03-04 00:00:00 UTC,0.0276129239520309,0.120897264812649,0.121935145237124,0.199242849059586,0.0286948110727894,0.065786600041005,0.0709290681716214,0.290719276666158,0.0471590348449555,2.0686904680768747
2017-03-05 00:00:00 UTC,0.0274592934080282,0.120464775441814,0.157125140833923,0.122433399603921,0.0246977901495722,0.0447680712001948,0.0890390344748663,0.36874254526849,0.0387708116870854,2.0470532360019065
2017-03-06 00:00:00 UTC,0.0222132863841897,0.101539430244961,0.122390965502474,0.13167468897007,0.0195863976558558,0.0378831491018161,0.0709681370833805,0.31636533840116,0.025832160490672,2.3100001359214977
2017-03-07 00:00:00 UTC,0.0315890982483129,0.107640783547613,0.128370538557522,0.25568222051959,0.0245266536042013,0.0805556153185957,0.0662536532154205,0.273961364211885,0.0575217160731258,1.648781423060624
2017-03-08 00:00:00 UTC,0.0341382264182813,0.130131459217663,0.140342227019507,0.273173958495281,0.0416004814029014,0.0886177387950936,0.0675133980342472,0.398870796230373,0.0824291527048571,1.1703070046359378
2017-03-09 00:00:00 UTC,0.0343143710536742,0.106947050883616,0.140871113778385,0.341491208449145,0.0355638021681541,0.0556026208743768,0.0738078009717346,0.387049510935169,0.101232105041789,1.2795472912908805
2017-03-10 00:00:00 UTC,0.0623906847180757,0.149340707424498,0.145114901048828,0.282408568908743,0.0727414669586992,0.180014207254028,0.151794448909297,0.407580109683416,0.0764457979972298,2.1645861995486047
2017-03-11 00:00:00 UTC,0.0356488819475631,0.130080913922778,0.15674932589154,0.260123762119199,0.0551275374059791,0.170348328999221,0.0772369298273208,0.335717055926747,0.0389134871544859,5.2220686995688705
2017-03-12 00:00:00 UTC,0.0373619645709057,0.0961222552068314,0.15922679834926,0.208155857473848,0.0193290422996813,0.0857089405942651,0.0695705605257873,0.384354049610905,0.039464249533211,3.3522633444593595
2017-03-13 00:00:00 UTC,0.0461832133508184,0.110113706849493,0.158938885295396,0.230842594200614,0.0190987901218786,0.124615548349971,0.0715740293136557,0.363792096383724,0.042178022662813,3.246110676672695
2017-03-14 00:00:00 UTC,0.0261007984882242,0.0795177666970964,0.141862470833112,0.241993056539141,0.015162842606396,0.0565280930085652,0.0667370797790087,0.26108202279425,0.0431972640724061,3.8349024096471362
2017-03-15 00:00:00 UTC,0.0271437078145363,0.0792890390606405,0.158757958500353,0.180085656264717,0.0127407826698033,0.0750702632513964,0.0621774518507039,0.260444020538543,0.043640276778478,4.730166805416133
2017-03-16 00:00:00 UTC,0.0470779322931781,0.119915251281384,0.15692964831145,0.28873063195963,0.0176304639139283,0.0290258161230994,0.0670941014702089,0.465835892120937,0.086473541505269,4.932273498680153
2017-03-17 00:00:00 UTC,0.0405256831820766,0.17814416022945,0.173405658518934,0.311778415862924,0.0334405875225996,0.0373066270879552,0.150591098467327,0.76683456109595,0.0749887024936254,5.168316845673698
2017-03-18 00:00:00 UTC,0.0486885092851139,0.276182235885052,0.195981403453718,0.362513638760346,0.053557445324534,0.113365671951573,0.136419247021752,0.605376224316598,0.105975094114338,5.231568084484898
2017-03-19 00:00:00 UTC,0.0456293523995289,0.225393572384699,0.219846610538157,0.387716102532729,0.0534868858907817,0.200665624089233,0.0780953087594545,0.564546570020759,0.108158225719031,1.556839126082251
