Time,
2017-06-28 00:00:00 UTC,279811.0
2017-06-29 00:00:00 UTC,231054.0
2017-06-30 00:00:00 UTC,267360.0
2017-07-01 00:00:00 UTC,221856.0
2017-07-02 00:00:00 UTC,196539.0
2017-07-03 00:00:00 UTC,253244.0
2017-07-04 00:00:00 UTC,255483.0
2017-07-05 00:00:00 UTC,237008.0
2017-07-06 00:00:00 UTC,225106.0
2017-07-07 00:00:00 UTC,243614.0
2017-07-08 00:00:00 UTC,220835.0
2017-07-09 00:00:00 UTC,188124.0
2017-07-10 00:00:00 UTC,251722.0
2017-07-11 00:00:00 UTC,265759.0
2017-07-12 00:00:00 UTC,257138.0
2017-07-13 00:00:00 UTC,245895.0
2017-07-14 00:00:00 UTC,227903.0
2017-07-15 00:00:00 UTC,221851.0
2017-07-16 00:00:00 UTC,203165.0
2017-07-17 00:00:00 UTC,230315.0
2017-07-18 00:00:00 UTC,260575.0
2017-07-19 00:00:00 UTC,253768.0
2017-07-20 00:00:00 UTC,230199.0
2017-07-21 00:00:00 UTC,268443.0
2017-07-22 00:00:00 UTC,223358.0
2017-07-23 00:00:00 UTC,181031.0
2017-07-24 00:00:00 UTC,240072.0
2017-07-25 00:00:00 UTC,244036.0
2017-07-26 00:00:00 UTC,237853.0
2017-07-27 00:00:00 UTC,225369.0
2017-07-28 00:00:00 UTC,247207.0
2017-07-29 00:00:00 UTC,211134.0
2017-07-30 00:00:00 UTC,184145.0
2017-07-31 00:00:00 UTC,231012.0
2017-08-01 00:00:00 UTC,131875.0
2017-08-02 00:00:00 UTC,209321.0
2017-08-03 00:00:00 UTC,213017.0
2017-08-04 00:00:00 UTC,235792.0
2017-08-05 00:00:00 UTC,239771.0
2017-08-06 00:00:00 UTC,199627.0
2017-08-07 00:00:00 UTC,249002.0
2017-08-08 00:00:00 UTC,275574.0
2017-08-09 00:00:00 UTC,260955.0
2017-08-10 00:00:00 UTC,257965.0
2017-08-11 00:00:00 UTC,284001.0
2017-08-12 00:00:00 UTC,260521.0
2017-08-13 00:00:00 UTC,263310.0
2017-08-14 00:00:00 UTC,255362.0
2017-08-15 00:00:00 UTC,311002.0
2017-08-16 00:00:00 UTC,274866.0
2017-08-17 00:00:00 UTC,347319.0
2017-08-18 00:00:00 UTC,312250.0
2017-08-19 00:00:00 UTC,266832.0
2017-08-20 00:00:00 UTC,210852.0
2017-08-21 00:00:00 UTC,236772.0
2017-08-22 00:00:00 UTC,196283.0
2017-08-23 00:00:00 UTC,315734.0
2017-08-24 00:00:00 UTC,203805.0
2017-08-25 00:00:00 UTC,208169.0
2017-08-26 00:00:00 UTC,226485.0
2017-08-27 00:00:00 UTC,261891.0
2017-08-28 00:00:00 UTC,223771.0
2017-08-29 00:00:00 UTC,281116.0
2017-08-30 00:00:00 UTC,271466.0
2017-08-31 00:00:00 UTC,280724.0
2017-09-01 00:00:00 UTC,283670.0
2017-09-02 00:00:00 UTC,236811.0
2017-09-03 00:00:00 UTC,195289.0
2017-09-04 00:00:00 UTC,269280.0
2017-09-05 00:00:00 UTC,277948.0
2017-09-06 00:00:00 UTC,276225.0
2017-09-07 00:00:00 UTC,256374.0
2017-09-08 00:00:00 UTC,279488.0
2017-09-09 00:00:00 UTC,217890.0
2017-09-10 00:00:00 UTC,193240.0
2017-09-11 00:00:00 UTC,253492.0
2017-09-12 00:00:00 UTC,256230.0
2017-09-13 00:00:00 UTC,263320.0
2017-09-14 00:00:00 UTC,268068.0
2017-09-15 00:00:00 UTC,292079.0
2017-09-16 00:00:00 UTC,228257.0
