Time,bit-x,bitbay,bitfinex,bitstamp,btce,campbx,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,okcoin,therocktrading
2017-02-21 00:00:00 UTC,5.14497926223019,12.1510081972064,2.26306576632701,2.22718605908148,2.1061798765013,,2.51851133980992,2.07016754233093,2.76987255056619,1.88986758446739,3.03863235455389,2.43121737857529,2.56941527810684,1.98783900437584,2.8574107718266
2017-02-22 00:00:00 UTC,3.64311184419118,8.81093138159317,1.85539308937491,2.33001595668024,2.27239622305098,70.7106781186548,2.49299051342572,1.80895230762843,2.17927176007897,1.31032329286832,1.92012527524939,1.4810617682888,2.08625377762204,1.76450853009309,2.9627009076435
2017-02-23 00:00:00 UTC,4.47469934682754,7.4486190914388,1.91924903891551,2.24438418496653,2.36012227898747,,2.09908711663834,1.9655201249977,2.52551214333966,1.57882992980993,4.37049671619669,1.38313052227057,2.67580066352011,2.28827660355478,2.93955721235631
2017-02-24 00:00:00 UTC,7.06053843719838,18.1160722108124,4.60494703855588,4.50290570440872,3.93949804246166,,4.69399295199975,4.61521344038095,4.05228635168155,3.8053811072861,3.60024990474129,3.71542073359912,5.2134006838314,4.22698986964708,4.32315740097714
2017-02-25 00:00:00 UTC,3.99274554884821,14.8104082760338,2.31994177184479,2.65529689872476,2.53551229250014,,2.38461817864963,2.38109078840832,2.91116846824894,2.09552678529315,3.85308269185582,1.91276751914929,2.67956928699641,2.56052396026903,3.4752625594189
2017-02-26 00:00:00 UTC,3.90238009349731,13.156518054259,2.34544249903293,2.29777939473519,1.92045330947608,,2.08406349550443,2.08908984257044,2.46569595413316,1.73240163590219,2.04715948619277,1.77208908324205,2.82105218316767,1.89460183774663,3.11173553959128
2017-02-27 00:00:00 UTC,3.87281126921942,14.2128447086073,1.91968188040075,2.22952297706895,2.11733294335738,,1.86582386063466,1.80802452302631,1.75914531906291,1.57583884624298,2.14087535208004,1.42097402438727,2.40105092604372,1.78704141550954,3.70106925771444
2017-02-28 00:00:00 UTC,3.31235429929139,6.0003006469397,2.24575401991353,2.18096163735573,2.18908632996198,14.142135623731,2.59191839768081,2.48869731922665,1.89382406306167,1.75416297601909,3.16580039630151,1.75612258671313,2.48647534520444,2.29698358347999,3.17481764553524
2017-03-01 00:00:00 UTC,2.85356555561241,5.67666895414014,1.68159188030618,1.70991189803199,2.35781737430695,,1.86371079945885,2.18876378672488,2.32669526733735,1.28941477659204,2.35235054263462,1.41877780711155,2.34555942024139,1.67443741312298,3.48495297580999
2017-03-02 00:00:00 UTC,3.93285805909648,6.07506827074278,2.54806795838804,2.69194314722222,3.35717368716669,,2.40725956637502,2.60837406234201,3.41400182043102,2.25323009673116,3.69456575260046,2.11747962534476,2.9063668003067,2.62937890901679,3.79499075293124
2017-03-03 00:00:00 UTC,5.20934626382142,6.34359464878696,2.47235453987239,2.78472334068291,2.93006600054369,,2.62739424760852,2.44279672973556,3.49944353588642,2.42414551104443,1.9798239436375,2.14667528037738,4.15549324659552,2.35093164320686,4.40717611115003
2017-03-04 00:00:00 UTC,3.49673274466469,11.5027202481772,1.96225329371962,2.40723603662546,2.6196016231965,,2.35779897726957,2.33516956932345,2.51631538620832,1.76643002504536,5.56446747796322,1.76628922991355,2.85425644625898,1.88988784427818,4.12390538881589
2017-03-05 00:00:00 UTC,3.25999546901323,6.82175318668685,1.7855875495357,1.8614153735516,2.37215318920993,19.9248588451713,1.24208331233826,1.46772851327152,2.33513996170248,1.19162653041811,1.55455266501709,1.30617172052695,2.7828492534427,1.44365520470638,3.96360279163158
2017-03-06 00:00:00 UTC,2.979463530375,6.94811034688724,1.39100195993227,1.57133043957836,1.54342194788781,,1.26636799149787,1.20038146414225,1.87656663642564,1.01792203155275,3.36601148745242,0.979832910573216,2.67782586939043,1.28731294181523,2.60342469716919
2017-03-07 00:00:00 UTC,4.38608460920321,8.50931605853318,3.79221466896725,4.0696947654215,3.47629499182905,,4.0201540437884,5.13373246087133,3.39011591805223,3.51818694520496,6.0312730144211,3.63299210063737,4.11005011833251,3.70251133582111,4.37036898639309
2017-03-08 00:00:00 UTC,6.22798023578497,9.76278134939115,5.13776406208526,5.09495055478951,4.80086455088451,,5.41355117262622,5.15666643662051,3.89915067583414,4.90801563566604,3.17260441214301,4.63241971408969,5.78770958199898,4.53487302609482,4.19914905807664
2017-03-09 00:00:00 UTC,6.33003567094767,12.3993816478049,3.41102023203044,3.29001667188446,3.81688819672866,,3.53043616953606,3.76304724447126,3.44517717237367,3.07239993807443,3.21576251456708,3.07115894732681,4.46839678952693,3.33975440453678,4.10130019877791
2017-03-10 00:00:00 UTC,10.3709533868344,16.1461886352259,8.83756476741756,8.80915809389925,6.70931566297199,87.9717312805189,6.67333821530653,9.79605905747708,6.08650057470891,8.03997402863497,11.8353929141755,7.521182393564,7.74603198075577,6.2300130372479,10.6718347035573
2017-03-11 00:00:00 UTC,6.43440656710699,17.3842908707416,3.83218659817377,3.97410309378362,3.71510888843782,,3.16847652121888,4.5243847412329,3.65437801880293,3.45742529172281,8.26826916744455,3.41232732758343,3.88924816016234,3.09389628634887,3.43133398004432
2017-03-12 00:00:00 UTC,4.15970757702461,11.2061202868225,2.44073123420819,2.64622716880136,2.6392346908381,,2.23150767704864,2.97107265970239,2.91492629884867,2.37632592483233,2.80253285448085,2.08508405389504,4.05287127679483,1.87851914044369,4.55197579225762
